card_number,first_name,last_name,phone_number,address,balance,credits
1000000,Daisy,Shobbrook,8461628617,8148 Truax Center,344.56,119.02
1000001,Eloise,Castiello,8684007459,4 Killdeer Hill,242.79,113.21
1000002,Marla,Tant,8306695021,289 Walton Point,112.29,351.37
1000003,Otha,Brockett,8327010578,20 Elgar Street,251.64,388.46
1000004,Jerad,Cowle,8826340922,56 Westend Parkway,293.68,485.84
1000005,Thornie,Narducci,8775518338,73 Bonner Parkway,293.82,0.07
1000006,August,Westberg,8054294179,7476 Londonderry Way,346.14,415.92
1000007,Frances,Mussington,8891138891,790 Eagan Circle,466.29,256.59
1000008,Seumas,Warlowe,8351702216,57106 Carberry Lane,280.44,340.32
1000009,Deedee,Kayne,8863299997,827 Corben Avenue,482.93,445.4
1000010,Kaja,Macallam,8794107191,1443 6th Pass,238.79,102.23
1000011,Jolynn,Summerlee,8941631709,4 Warbler Plaza,379.38,493.43
1000012,Bailie,O'Dee,8433465946,224 Daystar Parkway,415.42,75.32
1000013,Nedi,Stanfield,8244563216,3964 Fremont Lane,7.46,303
1000014,Brade,Atwell,8203799661,21 Pepper Wood Crossing,351.81,129.04
1000015,Alane,Colaco,8606066510,0 Waywood Avenue,93.09,458.55
1000016,Damara,Gilliard,8572790673,4682 Vidon Point,371.82,45.16
1000017,Ingemar,Mayne,8534711940,04027 Russell Plaza,232.01,395.65
1000018,Margaux,Stares,8690095897,23961 Express Pass,438.55,236.74
1000019,Garnet,Filipychev,8761288357,31 Sullivan Drive,284.14,442.72
1000020,Sonni,Widdall,8948370524,62 Vidon Point,400.16,194.9
1000021,Cristin,Hidderley,8175719673,41115 Sommers Road,212.59,291.82
1000022,Malva,Ivain,8791743857,364 Forest Dale Center,266.44,126.13
1000023,Eyde,Quarterman,8316080942,45 Iowa Pass,143.06,239.92
1000024,Gerhardine,Bigrigg,8511144206,63 Lotheville Place,170.31,338.31
1000025,Shanta,Mungin,8584480007,4 Knutson Pass,144.29,410.69
1000026,Archibold,Awdry,8109491649,09654 Helena Pass,10.09,231.24
1000027,Becki,Whetland,8497815935,38758 Westend Place,404.06,286.57
1000028,Harland,Langforth,8825104208,4 Lawn Court,417.26,289.2
1000029,Vina,Debow,8758039351,2 Fordem Place,64.53,472.95
